Title,Year,IMDB rating,Metascore,Votes,Description,Type
Jonah Hex,(2010),4.7,33        ,52210,"
    The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.","
Action, Drama, Fantasy            "
Dobra wrózka,(2010),5.0,36        ,38482,"
    A bad deed on the part of a tough minor-league hockey player results in an unusual sentence: He must serve one week as a real-life tooth fairy.","
Comedy, Family, Fantasy            "
Maria Magdalena,(2018),5.8,48        ,6143,"
    The story of Mary Magdalene.","
Drama            "
Z jak Zachariasz,(2015),6.0,68        ,25762,"
    In the wake of a disaster that wipes out most of civilization, two men and a young woman find themselves in an emotionally charged love triangle as the last known survivors.","
Drama, Sci-Fi, Thriller            "
Jackie,(2016),6.7,81        ,66795,"
    Following the assassination of President John F. Kennedy, First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.","
Biography, Drama, History            "
Lady M.,(2016),6.8,76        ,15631,"
    In 19th-century rural England, a young bride who has been sold into marriage discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate.","
Drama, Romance            "
Lorax,(2012),6.4,46        ,90939,"
    A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.","
Animation, Adventure, Drama            "
Absolutnie fantastyczne: Film,(2016),5.4,59        ,11088,"
    After attracting both media and police attention for accidentally knocking Kate Moss into the River Thames, Edina and Patsy hide out in the south of France.","
Comedy, Crime            "
Niewiarygodny Burt Wonderstone,(2013),5.9,44        ,68005,"
    A veteran Vegas magician tries to revive his career after his longtime partner quits, he gets fired from his casino act, and an edgy new ""street magician"" steals his thunder.","
Comedy            "
6 dni,(2017),6.2,36        ,14704,"
    In April 1980, armed gunmen stormed the Iranian Embassy in Princes Gate, London and took all inside hostage. Over the next six days a tense standoff took place, all the while a group of ...                See full summary »
","
Action, Drama, History            "
L'intervention,(2019),6.1,44        ,669,"
    In February 1976 in Djibouti, a school bus was taken hostage at the Somali border. The GIGN is sent on the spot. After 30 hours of tension, a rescue operation is organized.","
Action, Drama, History            "
Wiezienny eksperyment,(2015),6.9,67        ,33020,"
    In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.","
Biography, Drama, History            "
Traffik,(2018),6.0,37        ,16921,"
    A couple off for a romantic weekend in the mountains are accosted by a biker gang. Alone in the mountains, Brea and John must defend themselves against the gang, who will stop at nothing to protect their secrets.","
Action, Crime, Drama            "
Na gleboka wode,(2018),6.0,60        ,5789,"
    The incredible story of amateur sailor Donald Crowhurst and his solo attempt to circumnavigate the globe. The struggles he confronted on the journey while his family awaited his return is one of the most enduring mysteries of recent times.","
Adventure, Biography, Drama            "
Rzez,(2011),7.2,61        ,112184,"
    Two pairs of parents hold a cordial meeting after their sons are involved in a fight, though as their time together progresses, increasingly childish behavior throws the discussion into chaos.","
Comedy, Drama            "
"Kochajac Pabla, nienawidzac Escobara",(2017),6.3,42        ,14629,"
    A journalist strikes up a romantic relationship with notorious drug lord Pablo Escobar.","
Action, Biography, Crime            "
Dzika grusza,(2018),8.2,86        ,12983,"
    An unpublished writer returns to his hometown after graduating, where he seeks sponsors to publish his book while dealing with his father's deteriorating indulgence into gambling.","
Drama            "
I Am the Pretty Thing That Lives in the House,(2016),4.5,68        ,10067,"
    A young nurse takes care of an elderly author who lives in a haunted house.","
Horror, Mystery, Thriller            "
Boska Florence,(2016),6.8,71        ,45556,"
    The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.","
Biography, Comedy, Drama            "
Szybki jak smierc,(2018),4.1,19        ,1759,"
    Speedboat racing champion and multimillionaire, Ben Aronoff, leads a double life that lands him in trouble with the law and drug lords.","
Action, Crime, Drama            "
Likwidator,(2013),6.3,54        ,127213,"
    The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff.","
Action, Thriller            "
CBGB,(2013),6.6,30        ,8099,"
    A look at the New York City punk-rock scene and the venerable nightclub, CBGB.","
Drama, Music            "
Niepowstrzymany,(2010),6.7,69        ,174284,"
    With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.","
Action, Thriller            "
Wstrząs,(2015),7.1,55        ,78538,"
    In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.","
Biography, Drama, Sport            "
Piła VII,(2010),5.6,24        ,84289,"
    As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.","
Horror, Mystery            "
Ludzka stonoga 2,(2011),3.8,17        ,33023,"
    Inspired by the fictional Dr. Heiter, disturbed loner Martin dreams of creating a 12-person centipede and sets out to realize his sick fantasy.","
Horror            "
Pierwszy raz,(2012),6.8,55        ,63043,"
    A shy senior and a down-to-earth junior fall in love over one weekend.","
Comedy, Drama, Romance            "
Jak po masle,(2011),6.2,40        ,19621,"
    In Iowa, an adopted girl discovers her talent for butter carving and finds herself pitted against an ambitious local woman in their town's annual contest.","
Comedy, Drama            "
Selma,(2014),7.5,88        ,78366,"
    A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.","
Biography, Drama, History            "
Wszystko stracone,(2013),6.9,87        ,71502,"
    After a collision with a shipping container at sea, a resourceful sailor finds himself, despite all efforts to the contrary, staring his mortality in the face.","
Drama            "
Pan i pani Kiler,(2010),5.4,21        ,82791,"
    A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple..","
Action, Comedy, Romance            "
Wciaz ja kocham,(2010),6.3,43        ,129868,"
    A romantic drama about a soldier who falls for a conservative college student while he's home on leave.","
Drama, Romance, War            "
Latynoski ogier,(2017),5.9,54        ,11997,"
    Finding himself dumped after 25 years of marriage, a man who made a career of seducing rich older women must move in with his estranged sister, where he begins to learn the value of family.","
Comedy, Drama            "
Body at Brighton Rock,(2019),4.5,53        ,542,"
    A park ranger spends the night guarding a potential crime scene on a remote mountain trail.","
Thriller            "
David Crosby: Remember My Name,(2019),6.6,80        ,161,"
    Meet David Crosby in this portrait of a man with everything but an easy retirement on his mind.","
Documentary, Music            "
Na plazy Chesil,(2017),6.3,62        ,6884,"
    Based on Ian McEwan's novel. In 1962 England, a young couple find their idyllic romance colliding with issues of sexual freedom and societal pressure, leading to an awkward and fateful wedding night.","
Drama, Music, Romance            "
Bite,(2015),4.9,57        ,3667,"
    While on her bachelorette party getaway, Casey, the bride to be, gets a seemingly harmless bite from an unknown insect. After the trip, Casey discovers that everything can change with a single bite.","
Horror            "
Infiltrator,(2013),6.4,51        ,78724,"
    A father goes undercover for the DEA in order to free his son, who was imprisoned after being set up in a drug deal.","
Action, Drama, Thriller            "
Bez milosci ani slowa,(2012),7.2,49        ,79350,"
    An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.","
Comedy, Drama, Romance            "
Krwawa rozgrywka,(2017),5.2,43        ,6617,"
    A Special Forces Agent is assigned to protect a scientist and his creation from a sinister gang.","
Action, Sci-Fi, Thriller            "
Cienki Bolek,(2015),6.0,34        ,112355,"
    When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.","
Comedy, Crime            "
Gdybys tu byl,(2012),5.9,60        ,4943,"
    Four friends lose themselves in a carefree South-East Asian holiday. Only three come back. Dave and Alice return home to their young family desperate for answers about Jeremy's mysterious ...                See full summary »
","
Drama, Mystery            "
Blair Witch,(2016),5.0,47        ,37445,"
    After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch.","
Horror, Mystery, Thriller            "
Ojciec roku,(2018),5.2,32        ,8007,"
    Before NYC, college valedictorian Ben visits his trailer park loser dad. Same evening Ben argues with Larry about whose dad can kick the other dad's ass. Loser dad hears of this and tries to beat up doormat dad and chaos follows.","
Comedy            "
Zabójczy Joe,(2011),6.7,62        ,68259,"
    When a debt puts a young man's life in danger, he turns to putting a hit out on his evil mother in order to collect the insurance.","
Crime, Drama, Thriller            "
Blaze,(2018),6.7,75        ,1741,"
    A reimagining of the life and times of Blaze Foley, the unsung songwriting legend of the Texas Outlaw Music movement.","
Biography, Drama, Music            "
Epoka lodowcowa 5: Mocne uderzenie,(2016),5.7,34        ,49907,"
    When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.","
Animation, Adventure, Comedy            "
Zlota dama,(2015),7.3,51        ,49108,"
    Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover artwork she believes rightfully belongs to her family.","
Biography, Drama, History            "
Zróbmy sobie orgie,(2011),6.1,44        ,19953,"
    A group of 30-year-olds who have been friends since high school attempt to throw an end-of-summer orgy.","
Comedy, Romance            "
Bez snu,(2017),5.6,34        ,26301,"
    A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.","
Action, Crime, Thriller            "
Klucz do wieczności,(2015),6.5,34        ,81493,"
    A dying real estate mogul transfers his consciousness into a healthy young body, but soon finds that neither the procedure nor the company that performed it are quite what they seem.","
Action, Mystery, Sci-Fi            "
Piękna i bestia,(2011),5.6,40        ,72965,"
    A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.","
Drama, Fantasy, Romance            "
"Roman J. Israel, Esq.",(2017),6.4,58        ,24265,"
    Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action.","
Crime, Drama, Thriller            "
72 godziny,(2014),6.2,40        ,82226,"
    A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.","
Action, Drama, Thriller            "
Take Shelter,(2011),7.4,85        ,84050,"
    Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.","
Drama, Horror, Thriller            "
La camarista,(2018),7.4,81        ,423,"
    A look at the working environment of a chambermaid in one of Mexico City's most luxurious hotels.","
Drama            "
Ilu miałaś facetów?,(2011),6.1,35        ,68434,"
    A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.","
Comedy, Romance            "
Resident Evil: Afterlife,(2010),5.8,37        ,154290,"
    While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia.","
Action, Adventure, Drama            "
Brad's Status,(2017),6.5,71        ,13681,"
    A father takes his son to tour colleges on the East Coast and meets up with an old friend who makes him feel inferior about his life's choices.","
Comedy, Drama, Music            "
Przyrzeczenie,(2016),5.9,49        ,164839,"
    Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.","
Drama, History            "
Cicha noc,(2015),6.4,58        ,59108,"
    On Christmas eve, three lifelong friends spend the night in New York City looking for the Holy Grail of Christmas parties.","
Adventure, Comedy, Fantasy            "
50 twarzy Blacka,(2016),3.5,28        ,17531,"
    An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.","
Comedy            "
Balerina,(2016),6.8,48        ,16998,"
    An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.","
Animation, Adventure, Comedy            "
Skąd wiesz?,(2010),5.4,46        ,41430,"
    After being cut from the U.S.A. softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.","
Comedy, Drama, Romance            "
Kamerdyner,(2013),7.2,66        ,103089,"
    As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society.","
Biography, Drama            "
